time,theta1,theta2,omega1,omega2,KE_outer,KE_inner,PE_total,KE_total,total_energy,energy_drift
57.14799999995751,0.6736118099827798,0.39772343859444825,-19.619061349967826,9.449439069904614,1.2500707366943085,0.5470116075325161,8.516209895221616,1.7970823442268244,10.31329223944844,0.3071861332672743
57.14899999995751,0.6564850361060581,0.4058515237785746,-17.9337310309326,8.555915973652517,1.0445264506762615,0.44845359062009443,8.769991031491372,1.4929800412963559,10.262971072787728,0.2568649666065621
57.14999999995751,0.6408377376914669,0.4131952206970026,-16.387036145656452,7.7358910512771715,0.872125452992896,0.36661073143427064,8.981588547007213,1.2387361844271667,10.22032473143438,0.21421862525321345
57.150999999957506,0.6265442362601558,0.4198211582881979,-14.970399922951183,6.984817254811648,0.7278551227017929,0.2988784347940179,9.157634743823332,1.0267335574958107,10.184368301319143,0.17826219513797703
57.1519999999575,0.6134876833379873,0.42579128420823004,-13.675027176739796,6.29803175561372,0.6073437049538019,0.24299323127225103,9.303842587736442,0.8503369362260529,10.154179523962496,0.14807341778132965
57.1529999999575,0.6015599171218456,0.43116294082777173,-12.492159569155058,5.670891269786926,0.5068193462893641,0.19700948013155767,9.425091409516796,0.7038288264209218,10.128920235937718,0.12281412975655215
57.1539999999575,0.5906611719770227,0.43598901924907457,-11.413255680482292,5.098867520422267,0.42305538861122916,0.15926925201695177,9.525520306387547,0.5823246406281809,10.107844947015728,0.10173884083456208
57.1549999999575,0.5806996910476526,0.44031816468627294,-10.430113037096511,4.577611929250602,0.353310194253193,0.12836967111131703,9.608621305693639,0.48167986536451,10.09030117105815,0.08419506487698314
57.155999999957494,0.5715912797536289,0.4441950131836961,-9.534946111696918,4.102996967310757,0.2952668045664128,0.10313044126716212,9.677327547457814,0.39839724583357494,10.07572479329139,0.06961868711022312
57.15699999995749,0.5632588280619354,0.44766044488761314,-8.720431492858616,3.6711401006701005,0.24697562182447824,0.08256317801070248,9.734093931501533,0.32953879983518075,10.063632731336714,0.05752662515554796
57.15799999995749,0.5556318217326317,0.45075184316241773,-7.979729010498593,3.2784149893608228,0.20680185231850842,0.0658434134549838,9.780969121833428,0.27264526577349224,10.05361438760692,0.04750828142575436
57.15899999995749,0.5486458568433904,0.4535033519681705,-7.306485609272495,2.9214535402786734,0.17337848541235795,0.05228564288764704,9.81965871825721,0.22566412830000498,10.045322846557216,0.03921674037604994
57.159999999957485,0.5422421674302363,0.45594612628417036,-6.694827151197679,2.597141560876315,0.14556497019168962,0.04132146669332812,9.851579954919597,0.18688643688501774,10.038466391804615,0.03236028562344906
57.16099999995748,0.5363671727392922,0.458108572135413,-6.139342052049079,2.3026100836212593,0.12241138158808997,0.03248069313360642,9.877908587472215,0.1548920747216964,10.03280066219391,0.026694556012744286
57.16199999995748,0.5309720481124958,0.46001657408922353,-5.635059658870289,2.035223902526584,0.10312766268690467,0.025375164896689954,9.899618770359169,0.12850282758359463,10.028121597942762,0.02201549176159645
57.16299999995748,0.5260123217263485,0.4616937090456773,-5.177425506471877,1.7925684551321486,0.08705743276216965,0.019685025572014594,9.91751676332519,0.10674245833418425,10.024259221659374,0.018153115478208193
57.163999999957475,0.5214474981061483,0.4631614458328103,-4.7622750031737215,1.5724358717933984,0.07365582181728153,0.01514713058731797,9.932269282421794,0.0888029524045995,10.021072234826393,0.014966128645227172
57.16499999995747,0.5172407084234348,0.4644393306025516,-4.385806651456825,1.3728107784371502,0.062470804953446334,0.011545316544126584,9.944427252801002,0.07401612149757292,10.018443374298576,0.01233726811740965
57.16599999995747,0.5133583869546807,0.4655451583571383,-4.044555575733799,1.191856262163976,0.05312754563522601,0.008702263900897506,9.95444564610744,0.06182980953612351,10.016275455643562,0.010169349462396227
57.16699999995747,0.5097699726604165,0.46649513115782026,-3.7353678815091884,1.0279002776343305,0.04531530408480467,0.00647271448959586,9.96270000542238,0.05178801857440053,10.014488023996782,0.00838191781561548
