delta_theta_quarter,R2_0.6666666666666666,R2_0.5,R2_0.25,R2_0.99,R2_0.75,R2_0.3333333333333333,R2_0.01,R2_1,R2_0.999,R2_0.001,R2_0.9
0.0,30.321269916058164,21.183763721862555,10.02948567679812,83.51739287548749,36.021308737770696,13.54978743107264,0.3947940462031794,80752860955.02023,127.61784254055236,0.0394784274739673,51.58480621982043
0.0031478884304506,30.32113742210416,21.183732175607503,10.029483089349666,83.22142484858135,36.02101012830663,13.54978065143753,0.3947940460564523,12907270698654.469,107.25246427051896,0.0394784274738206,51.58218778391098
0.0062957768609013,30.32073998084519,21.18363754074669,10.029475327142498,82.43991498391102,36.02011447244951,13.549760312984418,0.3947940456162776,6494019723595.126,98.3731902903377,0.0394784274733805,51.57434311142232
0.009443665291352,30.320077714049155,21.1834798289918,10.02946239059112,81.38378181636466,36.01862228745883,13.549726417069769,0.3947940448826722,4356272929168.9214,93.29211179106798,0.0394784274726471,51.56130395062628
0.0125915537218027,30.319150824525607,21.18325905985769,10.029444280386343,80.22325102330734,36.01653443428272,13.54967896595416,0.3947940438556655,3287402179924.1416,89.69704835795156,0.0394784274716203,51.54312269559399
0.0157394421522534,30.317959595920417,21.18297526065563,10.029420997495212,79.05486475003548,36.01385211583667,13.549617962801973,0.3947940425352984,2646081848777.769,86.90810911625628,0.0394784274703001,51.51987162421695
0.0188873305827041,30.31650439242917,21.18262846648372,10.02939254316092,77.92422055014764,36.01057687460451,13.54954341168089,0.3947940409216227,2218536726708.228,84.62838336854237,0.0394784274686868,51.491641865604
0.0220352190131548,30.31478565842965,21.18221872021456,10.02935891890268,76.84967936239367,36.00671058957177,13.549455317561367,0.3947940390147027,1913148866997.2136,82.70017482764392,0.0394784274667802,51.45854212873312
0.0251831074436055,30.312803918034327,21.18174607248036,10.0293201265156,75.83640897652772,36.0022554725051,13.549353686315891,0.3947940368146141,1684109296290.1577,81.0294197169597,0.0394784274645805,51.420697230294856
0.0283309958740562,30.31055977456385,21.18121058165513,10.02927616807051,74.88353502840256,35.99721406359369,13.54923852471817,0.3947940343214441,1505968584949.708,79.55543116991842,0.0394784274620878,51.37824646379245
0.0314788843045069,30.308053909942675,21.180612313834416,10.029227045913762,73.98761176621501,35.9915892264715,13.549109840442137,0.3947940315352914,1363457075197.1262,78.23675260971987,0.0394784274593022,51.33134185407547
0.0346267727349576,30.305287084018104,21.179951342812178,10.029172762667026,73.14427649626835,35.98538414264138,13.548967642060887,0.3947940284562669,1246857712085.642,77.04379900050284,0.0394784274562237,51.28014634163569
0.0377746611654083,30.30226013380432,21.17922775005514,10.029113321227037,72.34902365689734,35.9786023053249,13.54881193904545,0.3947940250844922,1149692458987.1365,75.9547146048094,0.0394784274528526,51.2248319393644
0.040922549595859,30.29897397265295,21.178441624674445,10.029048724765326,71.59755199387374,35.971247512763355,13.54864274176343,0.3947940214201013,1067476521315.7386,74.95289404081082,0.0394784274491889,51.16557790133327
0.0440704380263097,30.295429589352047,21.177593063394703,10.028978976727934,70.88590438559378,35.963323860997846,13.548460061477556,0.3947940174632394,997006474369.8784,74.0254241002827,0.0394784274452327,51.10256893885048
0.0472183264567604,30.29162804715529,21.176682170520515,10.028904080835089,70.21050770793134,35.95483573615779,13.548263910344064,0.3947940132140636,935933140037.5212,73.16206403207639,0.0394784274409843,51.0359935139212
0.0503662148872111,30.287570482743565,21.175709057900303,10.028824041080846,69.56816585210132,35.945787806288926,13.54805430141098,0.3947940086727421,882494634736.9384,72.35455530667089,0.0394784274364439,50.96604223466439
0.0535141033176618,30.28325810512112,21.174673844887764,10.02873886173275,68.95603232792205,35.936185012753384,13.54783124861627,0.3947940038394552,835343635731.3231,71.59614080479832,0.0394784274316115,50.89290637153324
0.0566619917481125,30.278692194448503,21.173576658300696,10.028648547331407,68.37157555967012,35.926032561235075,13.547594766785869,0.3947939987143946,793432225338.5356,70.88122151145934,0.0394784274264873,50.81677650763593
0.0598098801785631,30.27387410081484,21.172417632377403,10.028553102690084,67.81254324223494,35.91533591238514,13.54734487163157,0.3947939932977635,755933100127.242,70.20510606184749,0.0394784274210717,50.73784133127726
0.0629577686090138,30.268805242951835,21.17119690873064,10.028452532894258,67.27692869330565,35.904100772142456,13.547081579748824,0.3947939875897765,722184417354.2145,69.56382454034397,0.0394784274153648,50.65628657420245
0.0661056570394645,30.263487106892256,21.169914636299147,10.02834684330115,66.76294039302316,35.89233308176495,13.546804908614376,0.3947939815906603,691650399562.4014,68.95398771170109,0.0394784274093668,50.57229409502172
0.0692535454699152,30.25792124457543,21.168570971296862,10.02823603953922,66.26897502968247,35.88003900760747,13.546514876583814,0.3947939753006526,663892683379.523,68.37267899766407,0.0394784274030779,50.48604110397732
0.0724014339003659,30.252109272402738,21.16716607715968,10.028120127507654,65.7935939501115,35.86722493068228,13.54621150288897,0.3947939687200029,638549142543.1226,67.81737046263629,0.0394784273964985,50.39769952258542
0.0755493223308166,30.24605286974572,21.16570012449006,10.027999113375827,65.33550272850549,35.85389743603804,13.545894807635216,0.394793961848972,615318005169.3527,67.2858566761306,0.0394784273896287,50.30743546971342
0.0786972107612673,30.239753777409888,21.164173290999248,10.027873003582725,64.89353350322972,35.8400633019925,13.54556481179865,0.3947939546878327,593945782877.2535,66.77620207280928,0.0394784273824689,50.215408864282296
0.081845099191718,30.233213796057044,21.16258576144738,10.027741804836348,64.46662972683369,35.82572948925403,13.545221537223124,0.3947939472368686,574217985499.737,66.28669863359049,0.0394784273750193,50.12177313394284
